,sensitivity,specificity,inv_frac,delay_samples,window_width
1246,0.606,0.9959994665955461,2.5,75,220
1247,0.13,0.9985331377517003,3.0,75,220
1248,0.004,0.9998666488865182,3.5,75,220
1249,0.0,0.9998666488865182,4.0,75,220
1250,0.0,0.9998666488865182,4.5,75,220
1251,0.0,0.9998666488865182,5.0,75,220
1252,0.0,0.9998666488865182,5.5,75,220
1253,0.0,0.9998666488865182,6.0,75,220
1254,0.0,0.9998666488865182,6.5,75,220
1255,0.0,0.9998666488865182,7.0,75,220
1256,0.0,0.9998666488865182,7.5,75,220
1257,0.0,0.9998666488865182,8.0,75,220
1258,0.0,1.0,0.0,100,220
1259,0.414,0.9883984531270836,0.5,100,220
1260,1.0,0.2601680224029871,1.0,100,220
1261,1.0,0.9977330310708095,1.5,100,220
1262,0.988,0.9994665955460728,2.0,100,220
1263,0.822,0.9998666488865182,2.5,100,220
1264,0.678,0.9998666488865182,3.0,100,220
1265,0.396,0.9998666488865182,3.5,100,220
1266,0.13,0.9998666488865182,4.0,100,220
1267,0.016,0.9998666488865182,4.5,100,220
1268,0.0,0.9998666488865182,5.0,100,220
1269,0.0,0.9998666488865182,5.5,100,220
1270,0.0,0.9998666488865182,6.0,100,220
1271,0.0,0.9998666488865182,6.5,100,220
1272,0.0,0.9998666488865182,7.0,100,220
1273,0.0,0.9998666488865182,7.5,100,220
1274,0.0,0.9998666488865182,8.0,100,220
1275,0.0,1.0,0.0,125,220
1276,0.462,0.9849313241765568,0.5,125,220
1277,1.0,0.3312441658887852,1.0,125,220
1278,1.0,0.9930657420989465,1.5,125,220
1279,1.0,0.9997332977730364,2.0,125,220
1280,0.926,0.9998666488865182,2.5,125,220
1281,0.786,0.9998666488865182,3.0,125,220
1282,0.61,0.9998666488865182,3.5,125,220
1283,0.374,0.9998666488865182,4.0,125,220
1284,0.158,0.9998666488865182,4.5,125,220
1285,0.046,0.9998666488865182,5.0,125,220
1286,0.002,0.9998666488865182,5.5,125,220
1287,0.0,0.9998666488865182,6.0,125,220
1288,0.0,0.9998666488865182,6.5,125,220
1289,0.0,0.9998666488865182,7.0,125,220
1290,0.0,0.9998666488865182,7.5,125,220
1291,0.0,0.9998666488865182,8.0,125,220
1292,0.0,1.0,0.0,150,220
1293,0.396,0.9757300973463129,0.5,150,220
1294,1.0,0.3919189225230031,1.0,150,220
1295,1.0,0.9885318042405654,1.5,150,220
1296,1.0,0.9997332977730364,2.0,150,220
1297,0.982,0.9997332977730364,2.5,150,220
1298,0.842,0.9998666488865182,3.0,150,220
1299,0.698,0.9998666488865182,3.5,150,220
1300,0.496,0.9998666488865182,4.0,150,220
1301,0.272,0.9998666488865182,4.5,150,220
1302,0.106,0.9998666488865182,5.0,150,220
1303,0.034,0.9998666488865182,5.5,150,220
1304,0.004,0.9998666488865182,6.0,150,220
1305,0.0,0.9998666488865182,6.5,150,220
1306,0.0,0.9998666488865182,7.0,150,220
1307,0.0,0.9998666488865182,7.5,150,220
1308,0.0,0.9998666488865182,8.0,150,220
1309,0.0,1.0,0.0,0,240
1310,0.0,1.0,0.5,0,240
1311,0.0,1.0,1.0,0,240
1312,0.0,1.0,1.5,0,240
1313,0.0,1.0,2.0,0,240
1314,0.0,1.0,2.5,0,240
1315,0.0,1.0,3.0,0,240
1316,0.0,1.0,3.5,0,240
1317,0.0,1.0,4.0,0,240
1318,0.0,1.0,4.5,0,240
1319,0.0,1.0,5.0,0,240
1320,0.0,1.0,5.5,0,240
1321,0.0,1.0,6.0,0,240
1322,0.0,1.0,6.5,0,240
1323,0.0,1.0,7.0,0,240
1324,0.0,1.0,7.5,0,240
1325,0.0,1.0,8.0,0,240
1326,0.0,1.0,0.0,25,240
1327,0.0,1.0,0.5,25,240
1328,1.0,0.01373516468862515,1.0,25,240
1329,0.02,0.9891985598079744,1.5,25,240
1330,0.0,0.9998666488865182,2.0,25,240
1331,0.0,0.9998666488865182,2.5,25,240
1332,0.0,0.9998666488865182,3.0,25,240
1333,0.0,0.9998666488865182,3.5,25,240
1334,0.0,0.9998666488865182,4.0,25,240
1335,0.0,0.9998666488865182,4.5,25,240
1336,0.0,0.9998666488865182,5.0,25,240
1337,0.0,0.9998666488865182,5.5,25,240
1338,0.0,0.9998666488865182,6.0,25,240
1339,0.0,0.9998666488865182,6.5,25,240
1340,0.0,0.9998666488865182,7.0,25,240
1341,0.0,0.9998666488865182,7.5,25,240
1342,0.0,0.9998666488865182,8.0,25,240
1343,0.0,1.0,0.0,50,240
1344,0.004,0.9998666488865182,0.5,50,240
1345,1.0,0.08747833044405921,1.0,50,240
1346,0.852,0.9911988265102014,1.5,50,240
1347,0.332,0.9941325510068009,2.0,50,240
1348,0.002,0.9998666488865182,2.5,50,240
1349,0.0,0.9998666488865182,3.0,50,240
1350,0.0,0.9998666488865182,3.5,50,240
1351,0.0,0.9998666488865182,4.0,50,240
1352,0.0,0.9998666488865182,4.5,50,240
1353,0.0,0.9998666488865182,5.0,50,240
1354,0.0,0.9998666488865182,5.5,50,240
1355,0.0,0.9998666488865182,6.0,50,240
1356,0.0,0.9998666488865182,6.5,50,240
1357,0.0,0.9998666488865182,7.0,50,240
1358,0.0,0.9998666488865182,7.5,50,240
1359,0.0,0.9998666488865182,8.0,50,240
1360,0.0,1.0,0.0,75,240
1361,0.086,0.9950660088011735,0.5,75,240
1362,1.0,0.18429123883184426,1.0,75,240
1363,0.998,0.9986664888651821,1.5,75,240
1364,0.792,0.9955994132551007,2.0,75,240
1365,0.478,0.9941325510068009,2.5,75,240
1366,0.028,0.9994665955460728,3.0,75,240
1367,0.0,0.9998666488865182,3.5,75,240
1368,0.0,0.9998666488865182,4.0,75,240
1369,0.0,0.9998666488865182,4.5,75,240
1370,0.0,0.9998666488865182,5.0,75,240
1371,0.0,0.9998666488865182,5.5,75,240
1372,0.0,0.9998666488865182,6.0,75,240
1373,0.0,0.9998666488865182,6.5,75,240
1374,0.0,0.9998666488865182,7.0,75,240
1375,0.0,0.9998666488865182,7.5,75,240
1376,0.0,0.9998666488865182,8.0,75,240
1377,0.0,1.0,0.0,100,240
1378,0.238,0.9806640885451393,0.5,100,240
1379,1.0,0.2748366448859848,1.0,100,240
1380,1.0,0.9982664355247366,1.5,100,240
1381,0.956,0.9989331910921456,2.0,100,240
1382,0.774,0.9991998933191092,2.5,100,240
1383,0.592,0.9983997866382184,3.0,100,240
1384,0.232,0.9987998399786638,3.5,100,240
1385,0.028,0.999333244432591,4.0,100,240
1386,0.0,0.9998666488865182,4.5,100,240
1387,0.0,0.9998666488865182,5.0,100,240
1388,0.0,0.9998666488865182,5.5,100,240
1389,0.0,0.9998666488865182,6.0,100,240
1390,0.0,0.9998666488865182,6.5,100,240
1391,0.0,0.9998666488865182,7.0,100,240
1392,0.0,0.9998666488865182,7.5,100,240
1393,0.0,0.9998666488865182,8.0,100,240
1394,0.0,1.0,0.0,125,240
1395,0.268,0.9737298306440859,0.5,125,240
1396,1.0,0.339245232697693,1.0,125,240
1397,1.0,0.997332977730364,1.5,125,240
1398,1.0,0.9997332977730364,2.0,125,240
1399,0.886,0.9998666488865182,2.5,125,240
1400,0.718,0.9998666488865182,3.0,125,240
1401,0.512,0.9998666488865182,3.5,125,240
1402,0.25,0.9998666488865182,4.0,125,240
1403,0.06,0.9998666488865182,4.5,125,240
1404,0.006,0.9998666488865182,5.0,125,240
1405,0.0,0.9998666488865182,5.5,125,240
1406,0.0,0.9998666488865182,6.0,125,240
1407,0.0,0.9998666488865182,6.5,125,240
1408,0.0,0.9998666488865182,7.0,125,240
1409,0.0,0.9998666488865182,7.5,125,240
1410,0.0,0.9998666488865182,8.0,125,240
1411,0.0,1.0,0.0,150,240
1412,0.19,0.965062008267769,0.5,150,240
1413,1.0,0.4061874916655554,1.0,150,240
1414,1.0,0.9941325510068009,1.5,150,240
1415,1.0,0.9997332977730364,2.0,150,240
1416,0.956,0.9995999466595547,2.5,150,240
1417,0.806,0.9998666488865182,3.0,150,240
1418,0.602,0.9998666488865182,3.5,150,240
1419,0.376,0.9998666488865182,4.0,150,240
1420,0.15,0.9998666488865182,4.5,150,240
1421,0.04,0.9998666488865182,5.0,150,240
1422,0.0,0.9998666488865182,5.5,150,240
1423,0.0,0.9998666488865182,6.0,150,240
1424,0.0,0.9998666488865182,6.5,150,240
1425,0.0,0.9998666488865182,7.0,150,240
1426,0.0,0.9998666488865182,7.5,150,240
1427,0.0,0.9998666488865182,8.0,150,240
1428,0.0,1.0,0.0,0,260
1429,0.0,1.0,0.5,0,260
1430,0.0,1.0,1.0,0,260
1431,0.0,1.0,1.5,0,260
1432,0.0,1.0,2.0,0,260
1433,0.0,1.0,2.5,0,260
1434,0.0,1.0,3.0,0,260
1435,0.0,1.0,3.5,0,260
1436,0.0,1.0,4.0,0,260
1437,0.0,1.0,4.5,0,260
1438,0.0,1.0,5.0,0,260
1439,0.0,1.0,5.5,0,260
1440,0.0,1.0,6.0,0,260
1441,0.0,1.0,6.5,0,260
1442,0.0,1.0,7.0,0,260
1443,0.0,1.0,7.5,0,260
1444,0.0,1.0,8.0,0,260
1445,0.0,1.0,0.0,25,260
1446,0.0,1.0,0.5,25,260
1447,1.0,0.01160154687291639,1.0,25,260
1448,0.0,0.9929323909854647,1.5,25,260
1449,0.0,0.9998666488865182,2.0,25,260
1450,0.0,0.9998666488865182,2.5,25,260
1451,0.0,0.9998666488865182,3.0,25,260
1452,0.0,0.9998666488865182,3.5,25,260
1453,0.0,0.9998666488865182,4.0,25,260
1454,0.0,0.9998666488865182,4.5,25,260
1455,0.0,0.9998666488865182,5.0,25,260
1456,0.0,0.9998666488865182,5.5,25,260
1457,0.0,0.9998666488865182,6.0,25,260
1458,0.0,0.9998666488865182,6.5,25,260
1459,0.0,0.9998666488865182,7.0,25,260
1460,0.0,0.9998666488865182,7.5,25,260
1461,0.0,0.9998666488865182,8.0,25,260
1462,0.0,1.0,0.0,50,260
1463,0.0,1.0,0.5,50,260
1464,1.0,0.0880117348979864,1.0,50,260
1465,0.786,0.9889318575810108,1.5,50,260
1466,0.062,0.9837311641552207,2.0,50,260
1467,0.0,0.9998666488865182,2.5,50,260
1468,0.0,0.9998666488865182,3.0,50,260
1469,0.0,0.9998666488865182,3.5,50,260
1470,0.0,0.9998666488865182,4.0,50,260
1471,0.0,0.9998666488865182,4.5,50,260
1472,0.0,0.9998666488865182,5.0,50,260
1473,0.0,0.9998666488865182,5.5,50,260
1474,0.0,0.9998666488865182,6.0,50,260
1475,0.0,0.9998666488865182,6.5,50,260
1476,0.0,0.9998666488865182,7.0,50,260
1477,0.0,0.9998666488865182,7.5,50,260
1478,0.0,0.9998666488865182,8.0,50,260
1479,0.0,1.0,0.0,75,260
1480,0.024,0.9947993065742099,0.5,75,260
1481,1.0,0.1874916655554074,1.0,75,260
1482,0.974,0.9970662755034004,1.5,75,260
1483,0.708,0.9918655820776103,2.0,75,260
1484,0.24,0.9849313241765568,2.5,75,260
1485,0.002,0.9998666488865182,3.0,75,260
1486,0.0,0.9998666488865182,3.5,75,260
1487,0.0,0.9998666488865182,4.0,75,260
1488,0.0,0.9998666488865182,4.5,75,260
1489,0.0,0.9998666488865182,5.0,75,260
1490,0.0,0.9998666488865182,5.5,75,260
1491,0.0,0.9998666488865182,6.0,75,260
1492,0.0,0.9998666488865182,6.5,75,260
1493,0.0,0.9998666488865182,7.0,75,260
1494,0.0,0.9998666488865182,7.5,75,260
1495,0.0,0.9998666488865182,8.0,75,260
1496,0.0,1.0,0.0,100,260
1497,0.078,0.9754633951193492,0.5,100,260
1498,1.0,0.2797706360848113,1.0,100,260
1499,1.0,0.9991998933191092,1.5,100,260
1500,0.886,0.9957327643685825,2.0,100,260
1501,0.692,0.9958661154820643,2.5,100,260
1502,0.412,0.9921322843045739,3.0,100,260
1503,0.054,0.9961328177090278,3.5,100,260
1504,0.0,0.9998666488865182,4.0,100,260
1505,0.0,0.9998666488865182,4.5,100,260
1506,0.0,0.9998666488865182,5.0,100,260
1507,0.0,0.9998666488865182,5.5,100,260
1508,0.0,0.9998666488865182,6.0,100,260
1509,0.0,0.9998666488865182,6.5,100,260
1510,0.0,0.9998666488865182,7.0,100,260
1511,0.0,0.9998666488865182,7.5,100,260
1512,0.0,0.9998666488865182,8.0,100,260
1513,0.0,1.0,0.0,125,260
1514,0.068,0.9633284437925057,0.5,125,260
1515,1.0,0.34897986398186426,1.0,125,260
1516,1.0,0.9983997866382184,1.5,125,260
1517,0.998,0.9994665955460728,2.0,125,260
1518,0.838,0.9997332977730364,2.5,125,260
1519,0.648,0.9997332977730364,3.0,125,260
1520,0.404,0.9997332977730364,3.5,125,260
1521,0.104,0.9998666488865182,4.0,125,260
1522,0.012,0.9998666488865182,4.5,125,260
1523,0.0,0.9998666488865182,5.0,125,260
1524,0.0,0.9998666488865182,5.5,125,260
1525,0.0,0.9998666488865182,6.0,125,260
1526,0.0,0.9998666488865182,6.5,125,260
1527,0.0,0.9998666488865182,7.0,125,260
1528,0.0,0.9998666488865182,7.5,125,260
1529,0.0,0.9998666488865182,8.0,125,260
1530,0.0,1.0,0.0,150,260
1531,0.048,0.9579943992532338,0.5,150,260
1532,1.0,0.4241898919855981,1.0,150,260
1533,1.0,0.9970662755034004,1.5,150,260
1534,1.0,0.9997332977730364,2.0,150,260
1535,0.922,0.9995999466595547,2.5,150,260
1536,0.746,0.9997332977730364,3.0,150,260
1537,0.516,0.9994665955460728,3.5,150,260
1538,0.248,0.9998666488865182,4.0,150,260
1539,0.06,0.9998666488865182,4.5,150,260
1540,0.002,0.9998666488865182,5.0,150,260
1541,0.0,0.9998666488865182,5.5,150,260
1542,0.0,0.9998666488865182,6.0,150,260
1543,0.0,0.9998666488865182,6.5,150,260
1544,0.0,0.9998666488865182,7.0,150,260
1545,0.0,0.9998666488865182,7.5,150,260
1546,0.0,0.9998666488865182,8.0,150,260
1547,0.0,1.0,0.0,0,280
1548,0.0,1.0,0.5,0,280
1549,0.0,1.0,1.0,0,280
1550,0.0,1.0,1.5,0,280
1551,0.0,1.0,2.0,0,280
1552,0.0,1.0,2.5,0,280
1553,0.0,1.0,3.0,0,280
1554,0.0,1.0,3.5,0,280
1555,0.0,1.0,4.0,0,280
1556,0.0,1.0,4.5,0,280
1557,0.0,1.0,5.0,0,280
1558,0.0,1.0,5.5,0,280
1559,0.0,1.0,6.0,0,280
1560,0.0,1.0,6.5,0,280
1561,0.0,1.0,7.0,0,280
1562,0.0,1.0,7.5,0,280
1563,0.0,1.0,8.0,0,280
1564,0.0,1.0,0.0,25,280
1565,0.0,1.0,0.5,25,280
1566,1.0,0.008001066808907855,1.0,25,280
1567,0.0,0.9978663821842912,1.5,25,280
1568,0.0,0.9998666488865182,2.0,25,280
1569,0.0,0.9998666488865182,2.5,25,280
1570,0.0,0.9998666488865182,3.0,25,280
1571,0.0,0.9998666488865182,3.5,25,280
1572,0.0,0.9998666488865182,4.0,25,280
1573,0.0,0.9998666488865182,4.5,25,280
1574,0.0,0.9998666488865182,5.0,25,280
1575,0.0,0.9998666488865182,5.5,25,280
1576,0.0,0.9998666488865182,6.0,25,280
1577,0.0,0.9998666488865182,6.5,25,280
1578,0.0,0.9998666488865182,7.0,25,280
1579,0.0,0.9998666488865182,7.5,25,280
1580,0.0,0.9998666488865182,8.0,25,280
1581,0.0,1.0,0.0,50,280
1582,0.0,1.0,0.5,50,280
1583,1.0,0.07307641018802508,1.0,50,280
1584,0.592,0.9773303107080944,1.5,50,280
1585,0.0,0.9873316442192293,2.0,50,280
1586,0.0,0.9998666488865182,2.5,50,280
1587,0.0,0.9998666488865182,3.0,50,280
1588,0.0,0.9998666488865182,3.5,50,280
1589,0.0,0.9998666488865182,4.0,50,280
1590,0.0,0.9998666488865182,4.5,50,280
1591,0.0,0.9998666488865182,5.0,50,280
1592,0.0,0.9998666488865182,5.5,50,280
1593,0.0,0.9998666488865182,6.0,50,280
1594,0.0,0.9998666488865182,6.5,50,280
1595,0.0,0.9998666488865182,7.0,50,280
1596,0.0,0.9998666488865182,7.5,50,280
1597,0.0,0.9998666488865182,8.0,50,280
1598,0.0,1.0,0.0,75,280
1599,0.0,0.9963995199359915,0.5,75,280
1600,1.0,0.17669022536338178,1.0,75,280
1601,0.928,0.9935991465528737,1.5,75,280
1602,0.602,0.9869315908787838,2.0,75,280
1603,0.06,0.9825310041338845,2.5,75,280
1604,0.0,0.9998666488865182,3.0,75,280
1605,0.0,0.9998666488865182,3.5,75,280
1606,0.0,0.9998666488865182,4.0,75,280
1607,0.0,0.9998666488865182,4.5,75,280
1608,0.0,0.9998666488865182,5.0,75,280
1609,0.0,0.9998666488865182,5.5,75,280
1610,0.0,0.9998666488865182,6.0,75,280
1611,0.0,0.9998666488865182,6.5,75,280
1612,0.0,0.9998666488865182,7.0,75,280
1613,0.0,0.9998666488865182,7.5,75,280
1614,0.0,0.9998666488865182,8.0,75,280
1615,0.0,1.0,0.0,100,280
1616,0.0,0.9765302040272036,0.5,100,280
1617,1.0,0.28283771169489264,1.0,100,280
1618,1.0,0.999333244432591,1.5,100,280
1619,0.818,0.9929323909854647,2.0,100,280
1620,0.576,0.9905320709427924,2.5,100,280
1621,0.152,0.9833311108147753,3.0,100,280
1622,0.002,0.997332977730364,3.5,100,280
1623,0.0,0.9998666488865182,4.0,100,280
1624,0.0,0.9998666488865182,4.5,100,280
1625,0.0,0.9998666488865182,5.0,100,280
1626,0.0,0.9998666488865182,5.5,100,280
1627,0.0,0.9998666488865182,6.0,100,280
1628,0.0,0.9998666488865182,6.5,100,280
1629,0.0,0.9998666488865182,7.0,100,280
1630,0.0,0.9998666488865182,7.5,100,280
1631,0.0,0.9998666488865182,8.0,100,280
1632,0.0,1.0,0.0,125,280
1633,0.0,0.9623949859981331,0.5,125,280
1634,1.0,0.361648219762635,1.0,125,280
1635,1.0,0.9990665422056274,1.5,125,280
1636,0.994,0.9995999466595547,2.0,125,280
1637,0.786,0.9987998399786638,2.5,125,280
1638,0.58,0.9987998399786638,3.0,125,280
1639,0.252,0.997332977730364,3.5,125,280
1640,0.046,0.9998666488865182,4.0,125,280
1641,0.0,0.9998666488865182,4.5,125,280
1642,0.0,0.9998666488865182,5.0,125,280
1643,0.0,0.9998666488865182,5.5,125,280
1644,0.0,0.9998666488865182,6.0,125,280
1645,0.0,0.9998666488865182,6.5,125,280
1646,0.0,0.9998666488865182,7.0,125,280
1647,0.0,0.9998666488865182,7.5,125,280
1648,0.0,0.9998666488865182,8.0,125,280
1649,0.0,1.0,0.0,150,280
1650,0.0,0.9567942392318975,0.5,150,280
1651,1.0,0.42392318975863447,1.0,150,280
1652,1.0,0.9983997866382184,1.5,150,280
1653,1.0,0.9997332977730364,2.0,150,280
1654,0.882,0.9997332977730364,2.5,150,280
1655,0.654,0.9994665955460728,3.0,150,280
1656,0.434,0.9998666488865182,3.5,150,280
1657,0.132,0.9998666488865182,4.0,150,280
1658,0.028,0.9998666488865182,4.5,150,280
1659,0.0,0.9998666488865182,5.0,150,280
1660,0.0,0.9998666488865182,5.5,150,280
1661,0.0,0.9998666488865182,6.0,150,280
1662,0.0,0.9998666488865182,6.5,150,280
1663,0.0,0.9998666488865182,7.0,150,280
1664,0.0,0.9998666488865182,7.5,150,280
1665,0.0,0.9998666488865182,8.0,150,280
1666,0.0,1.0,0.0,0,300
1667,0.0,1.0,0.5,0,300
1668,0.0,1.0,1.0,0,300
1669,0.0,1.0,1.5,0,300
1670,0.0,1.0,2.0,0,300
1671,0.0,1.0,2.5,0,300
1672,0.0,1.0,3.0,0,300
1673,0.0,1.0,3.5,0,300
1674,0.0,1.0,4.0,0,300
1675,0.0,1.0,4.5,0,300
1676,0.0,1.0,5.0,0,300
1677,0.0,1.0,5.5,0,300
1678,0.0,1.0,6.0,0,300
1679,0.0,1.0,6.5,0,300
1680,0.0,1.0,7.0,0,300
1681,0.0,1.0,7.5,0,300
1682,0.0,1.0,8.0,0,300
1683,0.0,1.0,0.0,25,300
1684,0.0,1.0,0.5,25,300
1685,1.0,0.008401120149353247,1.0,25,300
1686,0.0,0.9989331910921456,1.5,25,300
1687,0.0,0.9998666488865182,2.0,25,300
1688,0.0,0.9998666488865182,2.5,25,300
1689,0.0,0.9998666488865182,3.0,25,300
1690,0.0,0.9998666488865182,3.5,25,300
1691,0.0,0.9998666488865182,4.0,25,300
1692,0.0,0.9998666488865182,4.5,25,300
1693,0.0,0.9998666488865182,5.0,25,300
1694,0.0,0.9998666488865182,5.5,25,300
1695,0.0,0.9998666488865182,6.0,25,300
1696,0.0,0.9998666488865182,6.5,25,300
1697,0.0,0.9998666488865182,7.0,25,300
1698,0.0,0.9998666488865182,7.5,25,300
1699,0.0,0.9998666488865182,8.0,25,300
1700,0.0,1.0,0.0,50,300
1701,0.0,1.0,0.5,50,300
1702,1.0,0.06934257901053474,1.0,50,300
1703,0.218,0.9539938658487799,1.5,50,300
1704,0.0,0.9933324443259102,2.0,50,300
1705,0.0,0.9998666488865182,2.5,50,300
1706,0.0,0.9998666488865182,3.0,50,300
1707,0.0,0.9998666488865182,3.5,50,300
1708,0.0,0.9998666488865182,4.0,50,300
1709,0.0,0.9998666488865182,4.5,50,300
1710,0.0,0.9998666488865182,5.0,50,300
1711,0.0,0.9998666488865182,5.5,50,300
1712,0.0,0.9998666488865182,6.0,50,300
1713,0.0,0.9998666488865182,6.5,50,300
1714,0.0,0.9998666488865182,7.0,50,300
1715,0.0,0.9998666488865182,7.5,50,300
1716,0.0,0.9998666488865182,8.0,50,300
1717,0.0,1.0,0.0,75,300
1718,0.0,0.9983997866382184,0.5,75,300
1719,1.0,0.17175623416455527,1.0,75,300
1720,0.85,0.9879983997866382,1.5,75,300
1721,0.384,0.9747966395519403,2.0,75,300
1722,0.002,0.988798506467529,2.5,75,300
1723,0.0,0.9998666488865182,3.0,75,300
1724,0.0,0.9998666488865182,3.5,75,300
1725,0.0,0.9998666488865182,4.0,75,300
1726,0.0,0.9998666488865182,4.5,75,300
1727,0.0,0.9998666488865182,5.0,75,300
1728,0.0,0.9998666488865182,5.5,75,300
1729,0.0,0.9998666488865182,6.0,75,300
1730,0.0,0.9998666488865182,6.5,75,300
1731,0.0,0.9998666488865182,7.0,75,300
1732,0.0,0.9998666488865182,7.5,75,300
1733,0.0,0.9998666488865182,8.0,75,300
1734,0.0,1.0,0.0,100,300
1735,0.0,0.9810641418855848,0.5,100,300
1736,1.0,0.29257234297906387,1.0,100,300
1737,0.994,0.9991998933191092,1.5,100,300
1738,0.738,0.9897319642619016,2.0,100,300
1739,0.404,0.9823976530204027,2.5,100,300
1740,0.018,0.9841312174956661,3.0,100,300
1741,0.0,0.9989331910921456,3.5,100,300
1742,0.0,0.9998666488865182,4.0,100,300
1743,0.0,0.9998666488865182,4.5,100,300
1744,0.0,0.9998666488865182,5.0,100,300
1745,0.0,0.9998666488865182,5.5,100,300
1746,0.0,0.9998666488865182,6.0,100,300
1747,0.0,0.9998666488865182,6.5,100,300
1748,0.0,0.9998666488865182,7.0,100,300
1749,0.0,0.9998666488865182,7.5,100,300
1750,0.0,0.9998666488865182,8.0,100,300
1751,0.0,1.0,0.0,125,300
1752,0.0,0.965062008267769,0.5,125,300
1753,1.0,0.37738365115348715,1.0,125,300
1754,1.0,0.9991998933191092,1.5,125,300
1755,0.95,0.9975996799573277,2.0,125,300
1756,0.706,0.9955994132551007,2.5,125,300
1757,0.446,0.9938658487798373,3.0,125,300
1758,0.108,0.9959994665955461,3.5,125,300
1759,0.014,0.9994665955460728,4.0,125,300
1760,0.0,0.9998666488865182,4.5,125,300
1761,0.0,0.9998666488865182,5.0,125,300
1762,0.0,0.9998666488865182,5.5,125,300
1763,0.0,0.9998666488865182,6.0,125,300
1764,0.0,0.9998666488865182,6.5,125,300
1765,0.0,0.9998666488865182,7.0,125,300
1766,0.0,0.9998666488865182,7.5,125,300
1767,0.0,0.9998666488865182,8.0,125,300
1768,0.0,1.0,0.0,150,300
1769,0.0,0.95919455927457,0.5,150,300
1770,0.994,0.4273903187091612,1.0,150,300
1771,1.0,0.9987998399786638,1.5,150,300
1772,1.0,0.9997332977730364,2.0,150,300
1773,0.842,0.9994665955460728,2.5,150,300
1774,0.596,0.9997332977730364,3.0,150,300
1775,0.292,0.9998666488865182,3.5,150,300
1776,0.072,0.9998666488865182,4.0,150,300
1777,0.006,0.9998666488865182,4.5,150,300
1778,0.0,0.9998666488865182,5.0,150,300
1779,0.0,0.9998666488865182,5.5,150,300
1780,0.0,0.9998666488865182,6.0,150,300
1781,0.0,0.9998666488865182,6.5,150,300
1782,0.0,0.9998666488865182,7.0,150,300
1783,0.0,0.9998666488865182,7.5,150,300
1784,0.0,0.9998666488865182,8.0,150,300
